Module,Question,Answer A,Answer B,Answer C,Answer D,Correct Option,Passing Score
M1,What is one of the three pillars of CFM/CUC culture?,Fast service,Safe care,Profitability,Efficiency,B,80
M1,What should you do if something doesn’t feel safe?,Ignore it,Fix it later,Speak up,Assume leadership knows,C,80
M1,Safety at CFM is whose responsibility?,Management,Safety Officer,Clinical staff,Everyone,D,80
M1,Why are policies important?,They slow work down,They protect patients and staff,They are optional,They only apply to leadership,B,80
M1,Compassionate care means:,Rushing patients,Ignoring emotions,Treating patients with respect,Avoiding communication,C,80
M1,What should you do if you’re unsure about a process?,Guess,Skip it,Ask questions,Avoid the task,C,80
M1,Consistent care means:,Doing things your own way,Following policies every time,Changing processes daily,Only following rules when busy,B,80
M1,Your voice matters because:,Safety depends on communication,Reporting causes trouble,Only supervisors decide safety,Mistakes are unavoidable,A,80
M2,Who is responsible for workplace safety?,OSHA,Supervisors,Safety Officer,All employees,D,80
M2,Sharps should be disposed of:,At end of shift,When container is full,Immediately after use,In regular trash,C,80
M2,Overfilled sharps containers should be:,Taped shut,Used carefully,Reported and replaced,Ignored,C,80
M2,PPE should be worn:,All day,Only when required,Never,Only during inspections,B,80
M2,Slips and falls are:,Rare,Preventable,Not serious,Patient-only risks,B,80
M2,Equipment with damaged cords should be:,Used carefully,Fixed by staff,Removed from service,Ignored,C,80
M2,"If you see a hazard, you should:",Walk past it,Report it,Wait,Assume someone else will handle it,B,80
M2,Reporting hazards helps:,Assign blame,Improve safety,Delay work,Create paperwork,B,80
M3,Bloodborne pathogens are spread through:,Air only,Blood and certain body fluids,Food,Touching surfaces only,B,80
M3,Standard Precautions apply to:,Known infections only,High-risk patients,All patients,Only clinical staff,C,80
M3,Needles should be:,Recapped,Bent,Disposed of immediately,Stored temporarily,C,80
M3,A sharps injury should be:,Ignored if minor,Reported immediately,Treated later,Hidden,B,80
M3,PPE helps protect against:,Scheduling errors,Exposure,Billing issues,Equipment failure,B,80
M3,Engineering controls include:,PPE,Safety-engineered needles,Training,Signs,B,80
M3,"After an exposure, you should first:",Finish work,Wash or flush the area,Go home,Ignore it,B,80
M3,Reporting exposures allows for:,Punishment,Timely treatment,Discipline,Paperwork only,B,80
M4,The most effective infection-prevention method is:,Gloves,PPE,Hand hygiene,Masks,C,80
M4,Gloves replace hand hygiene.,True,False,,,B,80
M4,Standard Precautions apply:,Sometimes,Only with symptoms,Always,Rarely,C,80
M4,PPE should be removed:,At end of shift,After leaving the building,After the task,Never,C,80
M4,High-touch surfaces should be cleaned:,Weekly,Monthly,Between patients,Only if dirty,C,80
M4,Alcohol sanitizer is effective when hands are:,Visibly dirty,Not visibly soiled,Wet,Gloved,B,80
M4,Wearing gloves in hallways increases risk.,True,False,,,A,80
M4,Infection prevention protects:,Patients only,Staff only,Everyone,Inspectors,C,80
M5,OSHA HazCom gives employees the right to:,Ignore labels,Know chemical hazards,Mix chemicals,Skip PPE,B,80
M5,SDS provide information about:,Scheduling,Hazards and safety,Billing,Policies,B,80
M5,Unlabeled chemicals should be:,Used carefully,Smelled,Reported and not used,Poured out,C,80
M5,GHS pictograms show:,Product price,Hazard type,Brand,Expiration,B,80
M5,Mixing chemicals is:,Safe,Encouraged,Dangerous unless directed,Required,C,80
M5,PPE for chemicals is determined by:,Preference,SDS,Color,Smell,B,80
M5,Chemical spills should be handled:,Without PPE,According to SDS,Quickly without care,Ignored,B,80
M5,Oxygen is considered:,Harmless,A hazardous material,Food,PPE,B,80
M6,RACE stands for:,"Run, Avoid, Call, Escape","Rescue, Alarm, Contain, Evacuate","Respond, Act, Control, Exit","Remove, Assist, Call, Escape",B,80
M6,PASS is used for:,CPR,Fire extinguishers,Alarms,Evacuation,B,80
M6,When should 911 be called?,Only by leadership,For immediate danger,Never,After paperwork,B,80
M6,Severe weather usually requires:,Evacuation,Shelter in place,No action,Leaving patients,B,80
M6,Aggressive behavior should be handled by:,One person,Ignoring it,Getting help early,Arguing,C,80
M6,Fire exits must be:,Locked,Blocked,Clear,Hidden,C,80
M6,Emergency preparedness reduces:,Paperwork,Panic,Policies,Training,B,80
M6,Your role in emergencies is to:,Do everything,Stay calm and follow procedures,Leave,Ignore policies,B,80
M7,PHI includes:,Names only,Medical information,Identifiable health information,Schedules only,C,80
M7,Minimum Necessary means:,Share freely,Access only what you need,Access everything,Avoid systems,B,80
M7,Discussing PHI in hallways is:,Allowed,Encouraged,A violation,Required,C,80
M7,Social media posts about patients are:,Allowed if unnamed,Encouraged,Prohibited,Safe,C,80
M7,Paper records should be:,Left unattended,Protected and shredded,Taken home,Ignored,B,80
M7,Curiosity access is:,Allowed,Encouraged,A violation,Required,C,80
M7,HIPAA applies to:,Clinical staff only,All employees,Providers only,Managers only,B,80
M7,Privacy concerns should be:,Ignored,Reported immediately,Shared publicly,Delayed,B,80
M8,ePHI includes:,Paper charts,Electronic records,Conversations only,Whiteboards,B,80
M8,Passwords should be:,Shared,Written down publicly,Protected,Ignored,C,80
M8,Workstations should be locked:,Never,When stepping away,End of shift only,During audits,B,80
M8,Phishing emails often:,Look normal,Ask for passwords,Are harmless,Come from IT,B,80
M8,PHI should be sent using:,Personal email,Approved systems,Text messages,Social media,B,80
M8,Lost devices should be:,Hidden,Replaced quietly,Reported immediately,Ignored,C,80
M8,Screens should be positioned:,Toward patients,Publicly visible,Away from public view,Anywhere,C,80
M8,HIPAA Security focuses on:,Paper records,Electronic protection,Conversations,Billing,B,80
M9,A near-miss is:,An injury,A close call,A violation,Paperwork,B,80
M9,Near-misses should be reported.,True,False,,,A,80
M9,Reporting is about:,Blame,Prevention,Discipline,Punishment,B,80
M9,Minor injuries should be:,Ignored,Reported,Hidden,Delayed,B,80
M9,No-blame culture encourages:,Silence,Reporting,Punishment,Avoidance,B,80
M9,Reporting helps:,Create problems,Improve safety,Slow work,Increase injuries,B,80
M9,If unsure whether to report:,Don’t,Ask later,Report anyway,Ignore it,C,80
M9,Incident reports should be:,Delayed,Accurate and timely,Incomplete,Optional,B,80
M10,Workplace violence includes:,Physical acts only,Threats and harassment,Patients only,Rare events,B,80
M10,Warning signs include:,Calm behavior,Raised voice,Smiling,Silence,B,80
M10,De-escalation means:,Arguing,Staying calm,Threatening,Ignoring,B,80
M10,Harassment is:,Tolerated,Ignored,Not allowed,Encouraged,C,80
M10,"When danger is present, you should:",Handle it alone,Call 911,Ignore it,Argue,B,80
M10,Reporting violence helps:,Create conflict,Improve safety,Delay work,Hide issues,B,80
M10,Employees should feel:,Afraid to report,Supported,Silent,Isolated,B,80
M10,Workplace safety is:,Optional,Everyone’s responsibility,Management only,OSHA only,B,80
